Date,Time,Id,CumReturnResid,CumReturnRaw,CumVolume
20100104,45:00.0,BBG000MQ1SN9,0.002070319,0.012777926,43347
20100104,45:00.0,BBG000BBCQD7,-0.012105353,0.007787012,229661
20100104,45:00.0,BBG000BBB3K1,-0.001019838,0.001320507,62697
20100104,45:00.0,BBG000BNMHS4,0.012178881,0.02581021,47650
20100104,45:00.0,BBG000C23PB0,0.003520226,0.008454328,239259
20100104,45:00.0,BBG000D2M0Z7,0.010505354,0.027339315,95406
20100104,45:00.0,BBG000BBXLW4,0.013551136,0.022445247,90665
20100104,45:00.0,BBG000BFJ645,0.000145033,0.007276128,307496
20100104,45:00.0,BBG000FDBX90,-0.000456256,0.006209184,144287
20100104,45:00.0,BBG000C75N77,-0.010675899,0.005954377,64598
20100104,45:00.0,BBG000D6L294,-0.005049646,0.022643602,45743
20100104,45:00.0,BBG000JF5CV9,0.006642357,0.036542047,59961
20100104,45:00.0,BBG000Q814S3,0.006231196,0.03132112,208376
20100104,45:00.0,BBG000C3GN47,0.005807065,0.037270784,64261
20100104,45:00.0,BBG000HS74G6,0.001032558,0.009098556,55103
20100104,45:00.0,GEN_EQ0010003600001000,-0.011737417,-0.002558128,152813
20100104,45:00.0,BBG000PV2L86,-0.009313322,0.012959738,126988
20100104,45:00.0,BBG000BB5792,0.004732228,0.0289165,439486
20100104,45:00.0,GEN_EQ0010548100001000,0.003154828,0.023831315,267909
20100104,45:00.0,BBG000BV4DR6,0.006426619,0.026082983,322229
20100104,45:00.0,BBG000BXBHJ4,-0.007593707,0.004863633,78030
20100104,45:00.0,BBG000NDV1D4,0.006739791,0.029935814,257877
20100104,45:00.0,BBG000BVLRY8,0.007105964,0.01809391,36828
20100104,45:00.0,BBG000M4SW14,-0.01460232,0.017707026,116453
20100104,45:00.0,BBG000BLHRS2,0.00456367,0.00279447,66429
20100104,45:00.0,BBG000C3NTN5,0.012759046,0.027222678,160355
20100104,45:00.0,BBG000D9KWL9,-0.012041795,-0.002614057,56188
20100104,45:00.0,BBG000DKCC19,-0.00726526,-0.004883952,238176
20100104,45:00.0,BBG000BBMT95,0.000397169,0.001662654,92415
20100104,45:00.0,BBG000FQRVM3,0.004661886,0.005732269,41031
20100104,45:00.0,BBG000C45984,-0.001396488,0.012853947,85265
20100104,45:00.0,BBG000BFNR17,-0.000986585,0.011377807,15070
20100104,45:00.0,BBG000BHKYH4,-0.005821965,0.006727283,51247
20100104,45:00.0,BBG000BNNKG9,-0.006499864,0.005725211,95706
20100104,45:00.0,BBG000BKVJK4,0.00995867,0.013399377,101852
20100104,45:00.0,BBG000BNW1S8,0.002593278,0.02835675,73336
20100104,45:00.0,BBG000BB29X4,0.005192142,0.009969078,54140
20100104,45:00.0,BBG000TJM7F0,-0.008612406,-0.000228682,44812
20100104,45:00.0,BBG000FVQ185,-0.018105775,0.000422644,62333
20100104,45:00.0,BBG000BLW530,0.006000092,0.018355621,40980
20100104,45:00.0,BBG000K82ZT8,0.002521674,0.011519667,68475
20100104,45:00.0,BBG000BBCDZ2,-0.005839664,0.002740315,56228
20100104,45:00.0,BBG000BBBP59,0.002065571,-0.001338585,99331
20100104,45:00.0,BBG000FV1Z23,-0.012246084,0.011149421,116913
20100104,45:00.0,BBG000BVXPZ8,-0.004656497,0.001721897,362836
20100104,45:00.0,BBG000B9YJ35,-0.01248993,0.004877046,51212
20100104,45:00.0,BBG000BN84F3,-0.0047194,0.00488403,48921
20100104,45:00.0,BBG000TK7PB8,0.027676,0.062075574,278725
20100104,45:00.0,BBG000BHB3M6,-0.009832921,0.004203513,75075
20100104,45:00.0,BBG000BKNX95,-0.002830232,0.01665476,153968
20100104,45:00.0,BBG000BBL8V7,-0.000693284,0.011993296,108906
20100104,45:00.0,BBG000MBDGM6,0.005427841,0.02018638,14943
20100104,45:00.0,BBG000BPXVJ6,0.003237697,0.012190949,72412
20100104,45:00.0,BBG000BWGYF8,-0.013243177,0.00294173,71078
20100104,45:00.0,BBG000RGM5P1,,,49081
20100104,45:00.0,BBG000CPQZ77,-0.015710773,0.000182224,288996
20100104,45:00.0,BBG000BFVXX0,-0.000679122,0.006379685,434505
20100104,45:00.0,BBG000BVB8Q0,-0.002346118,0.028977659,113100
20100104,45:00.0,BBG000C7B436,0.0057102,0.034543455,141469
20100104,45:00.0,BBG000BTLMX5,0.00086442,0.021189487,51022
20100104,45:00.0,BBG000BRJL00,0.001500475,0.009702995,76423
20100104,45:00.0,BBG000BF6756,0.000547574,0.007817136,125845
20100104,45:00.0,BBG000BWXL85,0.00342516,0.014879466,208559
20100104,45:00.0,BBG000DWB323,0.003953361,0.024555795,186126
20100104,45:00.0,BBG000PX3XC0,-0.006211135,0.024833832,86698
20100104,45:00.0,BBG000D9DMK0,-0.001178996,0.007413545,53737
20100104,45:00.0,BBG000BFDLV8,0.006544861,0.014427732,60337
20100104,45:00.0,BBG000BSC0K9,0.004249918,0.009832435,83637
20100104,45:00.0,BBG000BQT4L6,0.008967997,0.008979277,165837
20100104,45:00.0,BBG000DSZTN6,0.006948057,0.03230821,110037
20100104,45:00.0,BBG000CC53X1,-0.016784772,0.006743957,65686
20100104,45:00.0,BBG000C2PW58,-0.001922443,0.012978658,21469
20100104,45:00.0,BBG000BLDV98,-0.001761822,0.003093935,141180
20100104,45:00.0,BBG000BKR1D6,-0.000262677,0.001702534,40961
20100104,45:00.0,GEN_EQ0010580600001000,0.005091601,0.021436157,119106
20100104,45:00.0,GEN_EQ0010091900001000,-0.002139367,0.013312064,23204
20100104,45:00.0,BBG000KLB4Q1,0.021155238,0.03736347,509950
20100104,45:00.0,BBG000CFJL87,4.607686e-05,0.003421396,102767
20100104,45:00.0,BBG000BJKPG0,0.000787834,0.008867017,57966
20100104,45:00.0,BBG000BTQ9G8,0.00216875,0.0133806,201156
